id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46
15,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,21,39,39,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,90,132,192,312
16,1,1,mid,24,24,39,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,276,741
17,0,1,low,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
18,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,18,0,33,0,0,0,0,0,12,30
19,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,129,0,102,102,72,84,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,6,84,261
20,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,132,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42
21,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48
22,0,0,low,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,51,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
23,0,0,low,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
24,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,72,0,102,99,0,0,0,0,0,0,0,0,0,54,36,0,0,0,0,0,0,9,81,276
25,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,180,444
26,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,138,444
27,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,27,117,135,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,252
28,0,1,mid,9,9,9,168,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,9,66,534
29,0,1,high,6,117,168,93,0,0,12,0,0,0,0,0,0,0,18,177,57,183,0,165,189,54,66,0,0,0,51,0,0,0,0,0,33,159,0,0,0,0,0,12,72,390,1581
30,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,99,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30
31,1,1,mid,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,144,30,96,96,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,228,630
32,0,1,high,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,42,0,24,0,0,21,18,18,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,186,576,570,2283
33,1,0,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,54,0,33,0,24,24,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,9,24,273,732
34,0,1,high,0,0,15,180,0,111,0,0,0,0,0,0,0,0,0,180,0,66,0,150,159,93,90,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,3,201,603
35,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,486
36,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,87,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,27,105,318,1182
38,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,18,72,72,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,39,51
39,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,117,117,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,3,81,546
41,0,0,low,0,30,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,mid,6,27,36,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,36,66,57,72,0,0,0,42,0,0,0,0,0,0,87,0,0,0,0,0,0,3,39,138
43,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,171,0,144,189,12,60,0,0,0,105,0,0,0,0,0,0,192,0,0,0,0,0,12,36,180,396
44,1,1,mid,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,9,33,30,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,12,42,135
45,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,129,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,78,177
46,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,90,108
47,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,21,0,63,60,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,33,105
48,1,1,low,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,126,123,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,33
49,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,147,39,42,57,0,0,0,45,0,0,0,0,0,0,150,0,0,0,0,0,0,0,138,357
50,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,150,111,81,78,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,9,9,54,141
51,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,114,111,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,144,498
52,0,0,low,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,294
53,0,0,mid,12,36,57,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,45,0,99,96,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,72,156
54,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18
55,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,33,0,81,0,60,63,0,0,0,6,0,0,0,0,0,0,90,0,0,0,0,0,0,3,72,180
57,0,0,high,15,99,105,51,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,141,144,51,48,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,9,510,1305
58,0,0,high,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,27,81
59,0,0,low,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
60,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,288,768
61,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,144,96,33,30,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,15,333,783
62,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,42,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,99,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,75
65,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,249,885
67,0,1,low,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
68,1,1,high,66,144,198,84,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,135,0,69,69,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,3,6,204,432
69,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51
70,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,276,315
71,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,123
72,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,1,mid,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,519
74,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,54,69
76,1,0,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,81
77,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,195,0,99,120,0,0,0,51,0,0,0,0,0,0,192,0,216,0,0,0,0,0,192,492
79,1,1,mid,60,60,69,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,117,114,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,3,312,639
80,0,1,high,0,0,0,78,0,0,0,0,0,0,0,0,0,0,9,138,0,0,0,111,78,60,54,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,3,72,300,1260
81,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,174,0,174,0,150,210,153,144,0,0,0,201,0,0,0,0,0,24,174,0,195,0,0,0,18,30,117,222
82,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,141,249,714
83,1,1,high,0,0,0,0,0,0,0,39,0,0,0,0,0,0,141,60,0,18,0,129,120,141,57,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,0,6,12,84,258
84,1,1,mid,0,0,0,48,0,0,0,0,0,0,0,0,0,0,171,111,0,0,0,141,144,213,189,0,0,0,0,0,120,0,0,0,0,102,0,0,0,0,0,6,6,114,561
85,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,30,0,75,72,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
86,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,15,42,117,117,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,42,183
87,0,0,mid,0,9,135,0,0,0,0,0,0,0,0,0,0,0,12,132,0,0,0,69,33,12,21,0,0,0,39,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,54
88,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,21,0,66,63,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,63,246
89,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,132,129,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,222,456
90,1,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,126,600
91,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,1,mid,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,144,162,18,72,0,0,0,0,0,0,0,0,111,0,150,0,0,0,0,0,6,6,213,510
93,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42
94,0,1,mid,0,0,0,84,0,0,0,0,0,0,0,0,0,0,6,174,0,0,0,147,186,3,27,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,6,54,57,282
95,1,1,high,0,0,12,42,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,33,15,21,21,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,105,210,2418,7716
96,0,0,high,0,48,81,0,0,0,0,0,0,0,0,0,0,0,18,129,0,0,0,138,81,78,165,0,0,0,0,90,0,27,0,165,0,114,0,0,0,0,0,0,0,0,0
97,0,1,high,0,0,0,36,0,0,0,0,0,51,0,0,0,51,0,51,0,0,0,45,102,0,27,0,0,0,51,0,0,0,0,0,39,84,0,0,0,0,0,0,0,6,18
98,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,1383,3624
99,0,1,high,0,0,0,0,0,0,123,0,0,0,0,0,0,0,192,150,0,0,0,162,192,114,102,0,0,0,105,0,0,0,0,0,0,198,0,0,0,0,0,0,0,3,33
100,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,81,0,90,108,0,0,0,0,0,0,0,0,0,27,129,0,0,0,0,0,0,0,201,486
101,0,0,low,51,69,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,mid,0,0,0,27,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,153,111,87,72,0,0,0,0,0,36,0,0,0,0,123,0,0,0,0,0,0,0,87,252
103,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,222
104,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,9,114,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
105,0,0,low,0,24,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,high,0,54,78,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,117,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,513
107,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,114,339
108,0,0,low,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
109,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,36,27,18,18,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,3,3,54,123
110,1,1,high,0,0,0,120,189,0,0,0,0,0,0,0,0,0,156,180,0,0,0,150,168,99,45,0,0,0,93,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,3
111,1,1,mid,0,0,0,30,0,0,0,0,0,0,0,0,0,0,183,120,0,78,0,150,93,198,90,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,6,0,3,201,558
112,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,0,high,3,36,48,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,99,24,24,24,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,18,33,525,1365
114,1,0,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,9,120,117,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,9,321,753
115,0,0,high,0,21,120,159,117,0,0,0,0,0,0,0,0,0,201,102,0,0,0,162,159,216,99,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,144,408
116,0,0,high,0,0,0,63,0,0,0,0,0,0,0,0,0,0,90,105,0,0,0,96,69,183,138,0,0,0,30,0,0,0,0,0,0,84,0,0,0,0,0,0,0,60,258
117,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,291,759,3444
118,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,84,81,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,33,339
119,0,1,high,0,0,0,114,0,0,0,0,0,0,0,0,0,0,36,186,0,69,0,183,183,153,216,0,0,0,99,0,0,0,0,144,0,180,0,63,0,0,0,0,0,0,0
120,1,1,high,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,141,84,0,93,0,0,0,75,0,0,0,0,0,0,138,0,0,0,0,0,0,0,96,186
121,0,1,high,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,168,162,9,9,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,42,174
122,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
123,1,1,high,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,174,102,24,24,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,126,246,369,936
124,0,0,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,1131
125,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,9,0,24,0,15,15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,27,72,393,1218
126,0,0,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,549
127,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,159,0,0,0,171,0,57,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,180,243
128,1,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,117,117,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,6,219,780
129,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15,48,336,1116
130,1,1,mid,0,0,0,6,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,36,117,132,105,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,39,111
131,0,1,mid,0,0,0,63,0,0,135,0,0,0,0,0,0,0,18,0,0,123,0,174,84,42,51,0,0,0,51,0,0,0,0,0,0,147,0,0,0,0,0,0,15,408,1098
132,0,1,mid,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,159,0,144,0,156,156,72,69,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,93,174,519,1179
133,0,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,171,0,186,0,87,87,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,186,549
134,0,1,high,0,0,6,78,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,135,123,3,3,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,57,87,774,1536
135,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,1,low,0,42,60,33,0,0,0,0,0,0,0,0,0,0,0,96,54,0,0,48,0,33,30,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,9,15
137,0,1,high,42,42,60,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,63,0,87,87,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,21,45,63
138,0,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,96
140,1,1,mid,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,30,0,30,72,0,0,0,102,0,0,0,0,0,0,135,0,189,0,0,0,84,186,1002,2619
141,0,0,high,0,0,0,66,144,0,0,0,0,0,0,0,0,0,0,141,0,0,0,153,24,48,78,0,0,0,78,0,0,0,0,0,0,117,0,0,0,0,0,3,3,75,135
142,0,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,1,mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,9,0,42,0,126,135,0,0,0,0,0,0,0,0,9,0,99,0,0,0,0,0,72,291,90,357
144,1,1,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,105,72,63,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,516
145,0,1,high,0,0,0,0,0,0,141,0,0,0,0,0,0,0,177,147,0,0,0,192,195,162,123,0,0,0,96,0,0,0,0,72,36,174,0,0,0,0,0,84,177,225,567
